ticker,entry_date,exit_date
A,2014-01-01,2016-12-07
A,2016-12-08,2021-03-31
A,2021-04-01,2023-03-07
A,2023-03-08,2024-12-31
AA,2014-01-01,2016-10-05
AA,2016-10-06,2016-10-31
AA,2016-11-01,2016-11-01
AAL,2015-03-23,2024-09-20
AAP,2015-07-09,2023-08-24
AAPL,2014-01-01,2024-12-31
ABBV,2014-01-01,2024-12-31
ABC,2014-01-01,2016-12-21
ABC,2016-12-22,2021-03-31
ABC,2021-04-01,2023-08-29
ABMD,2018-05-31,2022-12-21
ABNB,2023-09-18,2024-12-31
ABT,2014-01-01,2016-12-21
ABT,2016-12-22,2021-03-31
ABT,2021-04-01,2022-04-28
ABT,2022-04-29,2023-04-12
ABT,2023-04-13,2024-12-31
ACE,2014-01-01,2016-01-14
ACGL,2022-11-01,2024-12-31
ACN,2014-01-01,2019-10-21
ACN,2019-10-22,2020-03-22
ACN,2020-03-23,2021-10-19
ACN,2021-10-20,2024-12-31
ACT,2014-01-01,2015-06-14
ADBE,2014-01-01,2018-10-08
ADBE,2018-10-09,2024-12-31
ADI,2014-01-01,2024-12-31
ADM,2014-01-01,2024-12-31
ADNT,2016-10-31,2016-10-31
ADP,2014-01-01,2024-12-31
ADS,2014-01-01,2014-01-07
ADS,2014-01-08,2020-06-19
ADSK,2014-01-01,2024-12-31
ADT,2014-01-01,2016-04-29
AEE,2014-01-01,2016-12-18
AEE,2016-12-19,2024-12-31
AEP,2014-01-01,2020-09-30
AEP,2020-10-01,2024-12-31
AES,2014-01-01,2024-12-31
AET,2014-01-01,2018-11-28
AFL,2014-01-01,2024-12-31
AGN,2014-01-01,2015-03-16
AGN,2015-06-15,2020-05-08
AIG,2014-01-01,2016-12-18
AIG,2016-12-19,2021-04-04
AIG,2021-04-05,2024-12-31
AIRC,2020-12-15,2020-12-18
AIV,2014-01-01,2019-02-20
AIV,2019-02-21,2020-11-30
AIV,2020-12-01,2020-12-18
AIZ,2014-01-01,2015-06-30
AIZ,2015-07-01,2016-12-18
AIZ,2016-12-19,2020-10-12
AIZ,2020-10-13,2024-12-31
AJG,2016-05-31,2024-12-31
AKAM,2014-01-01,2024-12-31
ALB,2016-07-01,2024-12-31
ALGN,2017-06-19,2024-12-31
ALK,2016-05-13,2023-12-15
ALL,2014-01-01,2024-12-31
ALLE,2014-01-01,2020-02-17
ALLE,2020-02-18,2021-03-28
ALLE,2021-03-29,2024-12-31
ALTR,2014-01-01,2015-12-24
ALXN,2014-01-01,2021-07-20
AMAT,2014-01-01,2024-12-31
AMCR,2019-06-11,2019-09-25
AMCR,2019-09-26,2020-02-18
AMCR,2020-02-19,2021-03-14
AMCR,2021-03-15,2022-03-27
AMCR,2022-03-28,2024-12-31
AMD,2017-03-20,2024-12-31
AME,2014-01-01,2019-08-08
AME,2019-08-09,2024-12-31
AMG,2014-07-01,2019-12-20
AMGN,2014-01-01,2024-12-31
AMP,2014-01-01,2024-06-24
AMP,2024-06-25,2024-12-31
AMT,2014-01-01,2016-12-18
AMT,2016-12-19,2017-05-15
AMT,2017-05-16,2020-02-13
AMT,2020-02-14,2021-04-04
AMT,2021-04-05,2024-12-31
AMTM,2024-09-30,2024-12-20
AMZN,2014-01-01,2024-12-31
AN,2014-01-01,2017-08-07
ANDV,2017-08-01,2018-09-28
ANET,2018-08-28,2024-12-03
ANET,2024-12-04,2024-12-31
ANSS,2017-06-19,2024-12-31
ANTM,2014-12-03,2021-02-28
ANTM,2021-03-01,2022-06-27
AON,2014-01-01,2014-01-07
AON,2014-01-08,2014-11-23
AON,2014-11-24,2020-03-31
AON,2020-04-01,2024-06-25
AON,2024-06-26,2024-12-31
AOS,2017-07-26,2017-12-25
AOS,2017-12-26,2024-12-31
APA,2014-01-01,2016-12-18
APA,2016-12-19,2017-02-16
APA,2017-02-17,2020-02-24
APA,2020-02-25,2020-06-08
APA,2020-06-09,2021-03-01
APA,2021-03-02,2024-12-31
APC,2014-01-01,2016-12-18
APC,2016-12-19,2017-02-16
APC,2017-02-17,2019-08-08
APD,2014-01-01,2021-03-31
APD,2021-04-01,2024-12-31
APH,2014-01-01,2024-12-31
APO,2024-12-23,2024-12-31
APTV,2017-12-05,2024-12-17
APTV,2024-12-18,2024-12-31
APY,2018-05-09,2018-05-09
ARE,2017-03-20,2019-07-15
ARE,2019-07-16,2024-12-31
ARG,2014-01-01,2016-05-20
ARNC,2016-11-01,2020-03-31
ASIX,2016-10-03,2016-10-03
ATI,2014-01-01,2015-07-01
ATO,2019-02-15,2024-12-31
ATVI,2015-08-31,2023-10-12
AVB,2014-01-01,2024-12-31
AVGO,2014-05-08,2016-01-31
AVGO,2016-02-01,2018-04-04
AVGO,2018-04-05,2024-12-31
AVP,2014-01-01,2015-03-20
AVY,2014-01-01,2017-04-09
AVY,2017-04-10,2021-03-31
AVY,2021-04-01,2024-12-31
AWK,2016-03-04,2024-12-31
AXON,2023-05-04,2024-12-31
AXP,2014-01-01,2017-03-20
AXP,2017-03-21,2020-01-29
AXP,2020-01-30,2020-04-30
AXP,2020-05-01,2021-04-04
AXP,2021-04-05,2024-12-31
AYI,2016-05-03,2018-06-15
AZO,2014-01-01,2024-12-31
BA,2014-01-01,2024-12-31
BAC,2014-01-01,2014-05-13
BAC,2014-05-14,2015-06-30
BAC,2015-07-01,2016-06-28
BAC,2016-06-29,2016-12-07
BAC,2016-12-08,2022-05-15
BAC,2022-05-16,2024-12-31
BALL,2022-05-10,2024-12-31
BAX,2014-01-01,2024-12-31
BBBY,2014-01-01,2017-07-25
BBT,2014-01-01,2016-10-10
BBT,2016-10-11,2019-09-26
BBT,2019-09-27,2019-12-08
BBWI,2021-08-03,2024-09-30
BBY,2014-01-01,2023-09-20
BBY,2023-09-21,2024-12-31
BCR,2014-01-01,2017-12-28
BDX,2014-01-01,2024-12-31
BEAM,2014-01-01,2014-01-07
BEAM,2014-01-08,2014-04-30
BEN,2014-01-01,2014-01-07
BEN,2014-01-08,2021-03-30
BEN,2021-03-31,2024-12-31
BF,2014-01-01,2014-01-07
BF,2014-01-08,2024-12-31
BG,2023-03-15,2023-10-31
BG,2023-11-01,2024-06-25
BG,2024-06-26,2024-12-31
BHF,2017-08-07,2019-04-02
BHGE,2017-07-05,2019-10-17
BHI,2014-01-01,2014-01-06
BHI,2014-01-07,2014-03-23
BHI,2014-03-24,2017-07-04
BIIB,2014-01-01,2015-03-23
BIIB,2015-03-24,2024-12-31
BIO,2020-06-22,2024-09-20
BIVV,2017-02-02,2017-02-02
BK,2014-01-01,2024-12-31
BKNG,2018-02-27,2024-12-31
BKR,2019-10-18,2021-12-06
BKR,2021-12-07,2024-12-31
BLDR,2023-12-18,2024-12-31
BLK,2014-01-01,2014-01-15
BLK,2014-01-16,2019-11-19
BLK,2019-11-20,2022-08-09
BLK,2022-08-10,2024-10-01
BLK,2024-10-02,2024-12-31
BLL,2014-01-01,2022-05-09
BMS,2014-01-01,2014-01-06
BMS,2014-01-07,2014-12-04
BMS,2019-06-07,2019-06-10
BMY,2014-01-01,2024-12-31
BR,2018-06-18,2023-08-10
BR,2023-08-11,2024-12-31
BRCM,2014-01-01,2016-01-29
BRK,2014-01-01,2016-12-18
BRK,2016-12-19,2021-04-04
BRK,2021-04-05,2024-12-31
BRO,2021-09-20,2024-12-31
BSX,2014-01-01,2024-12-31
BTU,2014-01-01,2014-09-19
BWA,2014-01-01,2024-12-31
BX,2023-09-18,2024-12-31
BXLT,2015-07-01,2016-06-02
BXP,2014-01-01,2024-06-30
BXP,2024-07-01,2024-12-31
C,2014-01-01,2014-07-30
C,2014-07-31,2015-02-04
C,2015-02-05,2019-06-23
C,2019-06-24,2019-09-29
